z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
45,100,Rh,220,"130 ns",7+,+4.69(14),TDPAD,"Time Dependent Perturbed Angular Distribution",1990Bi03,"ZP A335 365 (90) ",indc-nds-0816
45,101,Rh,157,"4.34 d",9/2+,5.43(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Se20,"PR B51 11484 (95)",indc-nds-0794
45,102,Rh,141,"3.74 y",6+,4.01(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Se20,"PR B51 11484 (95)",indc-nds-0794
45,102,Rh,0,"206 d",2-,0.5(4),NO/S,"Static Nuclear Orientation with gamma detection",1975Sc09,"NP A243 309 (75)",indc-nds-0794
45,103,Rh,93,"1.11 ns",9/2+,+4.9(8),IPAC,"Integral Perturbed Angular Correlation",1973Ba52,"PS 8 90 (73)",indc-nds-0816
45,103,Rh,40,"56.1 m",7/2+,4.50(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Se20,"PR B51 11484 (95)",indc-nds-0794
45,103,Rh,295,"6.6 ps",3/2-,+0.81(8),TF,"Transient Field integral perturbed angular correlation",1989La14,"NP A496 589 (89)",indc-nds-0816
45,103,Rh,357,"73 ps",5/2-,+1.08(8),TF,"Transient Field integral perturbed angular correlation",1989La14,"NP A496 589 (89)",indc-nds-0816
45,103,Rh,848,"1.9 ps",7/2-,+2.0(6),TF,"Transient Field integral perturbed angular correlation",1989La14,"NP A496 589 (89)",indc-nds-0816
45,103,Rh,920,"5.6 ps",9/2-,+2.8(5),TF,"Transient Field integral perturbed angular correlation",1989La14,"NP A496 589 (89)",indc-nds-0816
45,104,Rh,345,"47 ns",6-,+2.00(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1990Bi03,"ZP A335 365 (90) ",indc-nds-0816
45,105,Rh,0,"35.4 h",7/2+,4.41(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Se20,"PR B51 11484 (95)",indc-nds-0794
45,106,Rh,0,"30.1 s",1+,2.55(3),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1990Oh01/1995Se20,"PR C41 243 (90)/PR B51 11484 (95)",indc-nds-0794
46,96,Pd,2531,"2.1 ms",8+,+10.97(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Gr01,"PL 120B 63 (83)",indc-nds-0816
46,96,Pd,7040,"35 ns",(15+),(+)12.5(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1989Al05,"ZP A332 129 (89)",indc-nds-0816
46,100,Pd,1416,"2.5 ps",4+,+1.8(6),TF,"Transient Field integral perturbed angular correlation",2011To09,"PR C84 044327",indc-nds-0816
46,100,Pd,666,"6.2 ps",2+,+0.6(3),TF,"Transient Field integral perturbed angular correlation",2011To09,"PR C84 044327",indc-nds-0816
46,101,Pd,0,"8.47 h",5/2+,(-)0.66(2),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1986Ni02,"NP A451 233 (86)",indc-nds-0794
46,102,Pd,556,"11.5 ps",2+,+0.82(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
46,103,Pd,785,"25 ns",11/2-,-1.05(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1981KaZE,"ZfK-455 27 (81)",indc-nds-0816
46,104,Pd,556,"9.9 ps",2+,+0.89(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
46,105,Pd,281,"67 ps",3/2+,-0.074(13),IPAC,"Integral Perturbed Angular Correlation",1981Al19,"ZP A302 223 (81)",indc-nds-0816
46,105,Pd,319,"39 ps",5/2+,+1.0(2),IPAC,"Integral Perturbed Angular Correlation",1981Al19,"ZP A302 223 (81)",indc-nds-0816
