z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
0,1,NN,0,"10.2 m",1/2+,-1.9130427(5),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,1,H,0,stable,1/2+,+2.792847351(9),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,2,H,0,stable,1+,+0.857438231(5),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,3,H,0,"12.33 y",1/2+,+2.978962460(14)),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
2,3,He,0,stable,1/2+,-2.12762531(3),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2012Mo42,"RMP 84 1527 (2012)",indc-nds-0794
3,6,Li,0,stable,1+,+0.822043(3),NMR,"Nuclear Magnetic Resonance",2012Ja19,"PNMRS 67 49 (2012)",indc-nds-0794
3,7,Li,0,stable,3/2-,+3.256407(12),NMR,"Nuclear Magnetic Resonance",2012Ja19,"PNMRS 67 49 (2012)",indc-nds-0794
3,8,Li,0,"840 ms",2+,+1.65350(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978Wi13/1962Co08,"PL A67 423 (78)/PR 126 1506 (62)",indc-nds-0794
3,9,Li,0,"178 ms",3/2-,3.43666(6),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005Bo45,"PR C72 044309 (05)",indc-nds-0794
3,11,Li,0,"8.75 ms",3/2-,+3.6711(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008Ne11,"PRL 101 132502 (08)",indc-nds-0794
4,9,Be,0,stable,3/2-,-1.177430(5),NMR,"Nuclear Magnetic Resonance",2013An23,"CPL 588 57 (2013)",indc-nds-0794
4,11,Be,0,"13.8 s",1/2+,-1.6816(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Ge18,"PRL 83 3792 (99)",indc-nds-0794
5,8,B,0,"0.77 s",2+,1.0355(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1973Mi01,"JPJS 34 156 (73)",indc-nds-0794
5,10,B,718,"0.707 ns",1+,+0.63(12),IPAC,"Integral Perturbed Angular Correlation",1972Av01,"NP A182 359 (72)",indc-nds-0816
5,10,B,0,stable,3+,1.8004636(8),NMR,"Nuclear Magnetic Resonance",2009Ja11,"JCP 130 044309 (2009)",indc-nds-0794
5,11,B,0,stable,3/2-,2.688378(1),NMR,"Nuclear Magnetic Resonance",2009Ja11,"JCP 130 044309 (2009)",indc-nds-0794
5,12,B,0,"20.2 ms",1+,+1.003(1,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1990Mi16,"NP A516 365 (90)",indc-nds-0794
5,13,B,0,"17.3 ms",3/2-,+3.1778(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Na38,"NP A746 509c (04)",indc-nds-0794
5,14,B,0,"12.5 ms",2-,1.185(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ok04," PL B354 41 (95)",indc-nds-0794
5,15,B,0,"9.9 ms",3/2-,2.659(15),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ok04," PL B354 41 (95)",indc-nds-0794
5,17,B,0,"5.1 ms",(3/2-),2.55(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Ue02,"PR C53 2142 (96)",indc-nds-0794
6,9,C,0,"126 ms",3/2-,1.3914(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ma48,"NP A558 153c (1995)",indc-nds-0794
6,11,C,0,"20.4 m",3/2-,-0.964(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1970Wo11,"ZP 236 337 (70)",indc-nds-0794
6,13,C,0,stable,1/2-,+0.702369(4),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
6,13,C,3854,"8.5 ps",5/2+,1.40(4),RIV/D,"Recoil into Vacuum / Differential method",1981Ru04,"NP A359 442 (81)  ",indc-nds-0816
6,14,C,6728,"66 ps",3-,0.82(2),RIV/D,"Recoil into Vacuum / Differential method",1974Al07,"PR C9 1748 (74)",indc-nds-0816
6,15,C,0,"2.45 s",1/2+,1.720(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002As06,"NP A704 88c (02)",indc-nds-0794
6,15,C,740,"2.61 ns",5/2+,1.76(3),RIV/D,"Recoil into Vacuum / Differential method",1980As01,"JP G6 251 (80)",indc-nds-0816
6,17,C,0,"193 ms",(3/2+),0.758(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002Og02,"EurPJ A13 81 (02)",indc-nds-0794
7,12,N,0,"11.0 ms",1+,0.4571(1),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010Zh03,"Chin Phys Lett 27 022102 (10)",indc-nds-0794
7,13,N,0,"9.96 m",1/2-,"0.3219(4) ",AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1964Be24,"PR 136 B27 (64)",indc-nds-0794
7,14,N,0,stable,1+,+0.403573(2),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
7,14,N,5106,"4.3 ps",2-,1.32(8),RIV/D,"Recoil into Vacuum / Differential method",1978Mo27,"JP G4 1593 (78)",indc-nds-0816
7,15,N,0,stable,1/2-,-0.2830569(14),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
7,15,N,5270,"1.79 ps",5/2+,2.35(18),RIV/D,"Recoil into Vacuum / Differential method",1983Bi10,"JP G9 1407 (83)",indc-nds-0816
7,16,N,0,"7.13 s",2-,"1.9856(11) ",b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2001Ma42,"PRL 86 3735 (01)",indc-nds-0794
7,16,N,298,"91.3 ps",3-,1.60(6),RIV/D,"Recoil into Vacuum / Differential method",1984Bi03,"NP A413 503 (84)",indc-nds-0816
7,16,N,397,"3.9 ps",1-,-2.11(15),RIV/D,"Recoil into Vacuum / Differential method",1975As02,"JP G1 415 (75)",indc-nds-0816
7,17,N,0,"4.17 s ",1/2-,0.3552(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009De34,"PR C80 037306 (09)",indc-nds-0794
7,18,N,0,"624 ms",1-,0.3274(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009De34,"PR C80 037306 (09)",indc-nds-0794
7,19,N,0,"0.27 s",1/2-,0.305(15),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Ka22,"NP A734 481 (04)",indc-nds-0794
8,13,O,0,"8..6 ms",3/2-,1.3892(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Ma38,"HFI 97/98 519 (96)",indc-nds-0794
8,15,O,0,"122 s",1/2-,0.71908(12),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1993Ta28,"HFI 78 105 (93)",indc-nds-0794
8,16,O,6130,"18.4 ps",3-,+1.668(12),RIV/D,"Recoil into Vacuum / Differential method",1984As03,"JP G10 1079 (84)",indc-nds-0816
8,17,O,0,stable,5/2+,-1.893543(10),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
8,18,O,3555,"17.2 ps",4+,2.6(4),RIGV,"Recoil into gas or vacuum",1974Be63,"NP A235 410 (74)",indc-nds-0816
8,18,O,1982,"1.94 ps",2+,-0.57(3),RIV/D,"Recoil into Vacuum / Differential method",1976As04,"JP G2 477 (76)",indc-nds-0816
8,19,O,0,"26.9 s",5/2+,"1.53238(7) ",b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Mi16,"PL B457 9 (99)",indc-nds-0794
8,19,O,96,"1.39 ns",3/2+,-0.72(9),IPAC,"Integral Perturbed Angular Correlation",1976Go09,"NP A262 214 (76)",indc-nds-0816
8,20,O,1674,"7.3 ps",2+,0.70(3),RIV/D,"Recoil into Vacuum / Differential method",1980Ru01,"NP A344 294 (80)",indc-nds-0816
9,17,F,0,"64.5 s",5/2+,+4.7213(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1993Mi33,"HFI 78 111 (93)",indc-nds-0794
9,18,F,937,"47 ps",3+,+1.6(2),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1981St21,"JPJa 50 2804 (81)",indc-nds-0816
9,18,F,1121,"162 ns",5+,+2.68(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1967Sc09,"PL 24B 457 (67)",indc-nds-0816
9,19,F,0,stable,1/2+,+2.628321(4),NMR,"Nuclear Magnetic Resonance",2016AD43,"Phys Chem Chem Phys 18 18483 (2016)",indc-nds-0794
9,19,F,1346,"2.86 ps",5/2-,0.67(11),RIV/D,"Recoil into Vacuum / Differential method",1983Bi03,"JP G9 293 (83)",indc-nds-0816
9,19,F,197,"89.3 ns",5/2+,+3.605(8),TDPAD,"Time Dependent Perturbed Angular Distribution",1969Bi18,"NIM 67 169 (69)",indc-nds-0816
9,20,F,0,"11.1 s",2+,+2.09335(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",L,"ARO p44 (96)",indc-nds-0794
9,21,F,0,"4.16 s",5/2+,3.9194(12),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Mb13,"HFI 120/121 673 (99)",indc-nds-0794
9,22,F,0,"4.23 s",4+,(+)2.6944(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010Mi13,"NP A834 75c (10)",indc-nds-0794
10,17,Ne,0,"109 ms",1/2-,+0.7873(14),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2005Ge06,"PR C71 064319 (2006)",indc-nds-0794
10,19,Ne,0,"17.2 s",1/2+,-1.88515(7),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1982Ma39,"PR C26 1753 (82)",indc-nds-0794
10,19,Ne,238,"18.0 ns",5/2+,-0.740(8),TDPAD,"Time Dependent Perturbed Angular Distribution",1969Bl02,"NP A123 65 (69)",indc-nds-0816
10,20,Ne,4247,"64 fs",4+,+1.5(3),TF,"Transient Field integral perturbed angular correlation",2003Le01,"PL B551 249 (03)",indc-nds-0816
10,21,Ne,0,stable,3/2+,-0.66170(3),MB,"Molecular Beam Magnetic Resonance",1957La08,"PR 107 1202 (57)",indc-nds-0794
10,21,Ne,351,"7.1 ps",5/2+,0.49(4),RIV/D,"Recoil into Vacuum / Differential method",1978Ro10,"JP G4 431 (78)",indc-nds-0816
10,22,Ne,1275,"3.6 ps",2+,+0.65(2),RIV/D,"Recoil into Vacuum / Differential method",1977Ho01,"NP A275 237 (77)",indc-nds-0816
10,22,Ne,3357,"225 fs",4+,+2.2(6),TF,"Transient Field integral perturbed angular correlation",1984Ba10,"PR C29 1163 (84)",indc-nds-0816
10,23,Ne,0,"37.2 s",5/2+,-1.0794(10),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1994Hi09,"Z. Naturforsch. 49a 27 (94)",indc-nds-0794
10,25,Ne,0,"0.60 s",1/2+,-1.0060(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2005Ge06,"PR C71 064319 (2006)",indc-nds-0794
11,20,Na,0,"0.448 s",2+,+0.3694(2),OP/RD,"Optical Pumping with Radiative Detection",1975Sc20,"NP A246 187 (75)",indc-nds-0794
11,21,Na,0,"22.5 s",3/2+,+2.38610(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1965Am01,"PR 137 B1157 (65)",indc-nds-0794
11,21,Na,332,"7.1 ps",5/2+,3.6(3),RIV/D,"Recoil into Vacuum / Differential method",1977Be30,"PR C16 679 (77)",indc-nds-0816
11,22,Na,0,"2.60 y",3+,+1.746(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1949Da01,"PR 76 1068 (49)",indc-nds-0794
11,22,Na,2211,"14.9 ps",1-,0.36(7),RIV/D,"Recoil into Vacuum / Differential method",1976Be06,"PR C13 895 (76)",indc-nds-0816
11,22,Na,583,"243 ns",1+,+0.535(10),TDPAC,"Time Dependent Perturbed Angular Correlation",1966Su07,"PR 151 910 (66)",indc-nds-0816
11,23,Na,0,stable,3/2+,+2.21750(3),NMR,"Nuclear Magnetic Resonance",2012An18,"CPL 532 1 (2012)",indc-nds-0794
11,24,Na,0,"15.0 h",4+,+1.6903(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1966Ch15/1973CoZG,"PR 150 933 (66)/BAPS 18 727 (73)",indc-nds-0794
11,24,Na,472,"20.2 ms",1+,-1.931(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1980He08,"PL B94 28 (80)",indc-nds-0794
11,25,Na,0,"59.1 s",5/2+,+3.683(4),OP/RD,"Optical Pumping with Radiative Detection",1975De11,"ZP A273 15 (75)",indc-nds-0794
11,26,Na,0,"1.07 s",3+,+2.851(2),ABLS,"Atomic Beam Laser Spectroscopy",1978Hu12,"PR C18 2342 (78)",indc-nds-0794
11,27,Na,0,"0.30 s",5/2+,+3.895(5),ABLS,"Atomic Beam Laser Spectroscopy",1978Hu12,"PR C18 2342 (78)",indc-nds-0794
11,28,Na,0,"30.5 ms",1+,+2.426(3),ABLS,"Atomic Beam Laser Spectroscopy",1978Hu12,"PR C18 2342 (78)",indc-nds-0794
11,29,Na,0,"44 ms",3/2+,+2.449(8),ABLS,"Atomic Beam Laser Spectroscopy",1978Hu12,"PR C18 2342 (78)",indc-nds-0794
11,30,Na,0,"53 ms",2+,+2.083(10),ABLS,"Atomic Beam Laser Spectroscopy",1978Hu12,"PR C18 2342 (78)",indc-nds-0794
12,21,Mg,0,"122 ms",5/2+,-0.983(7),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2009Kr05,"PL B 678 465 (09)",indc-nds-0794
12,23,Mg,0,"11.3 s",3/2+,-0.5363(3),CLS,"Resonance Cell Laser Spectroscopy",2017Yo05,"JP G44 075104 (2017)",indc-nds-0794
12,24,Mg,4123,"22 fs",4+,+1.7(12),TF,"Transient Field integral perturbed angular correlation",1983Sp01,"NP A403 421 (83)",indc-nds-0816
12,24,Mg,4238,"41 fs",2+,+1.3(4),TF,"Transient Field integral perturbed angular correlation",1983Sp01,"NP A403 421 (83)",indc-nds-0816
12,24,Mg,6010,"49 fs",4+,+2.1(16),TF,"Transient Field integral perturbed angular correlation",1984Sp03,"ZP A315 319 (84)",indc-nds-0816
12,25,Mg,0,stable,5/2+,-0.85533(3),NMR,"Nuclear Magnetic Resonance",2013An23,"CPL 588 57 (2013)",indc-nds-0794
12,26,Mg,1809,"476 fs",2+,+1.1(3),TF,"Transient Field integral perturbed angular correlation",1981Sp04,"PL 102B 6 (81)",indc-nds-0816
12,27,Mg,0,"9.46 m",1/2+,-0.4106(15),CLS,"Resonance Cell Laser Spectroscopy",2008Ko05,"PR C77 034307 (08)",indc-nds-0794
13,23,Al,0,"470 ms",5/2+,+3.89(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006Oz04,"PR C74 021301 (06)",indc-nds-0794
13,24,Al,426,"130 ms",1+,2.99(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2007NI14,"HFI 180 71 (07)",indc-nds-0794
13,25,Al,0,"7.18 s",5/2+,3.6447(12),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1976Mi11,"PR C14 376 (76)",indc-nds-0794
13,26,Al,0,"7x105 y",5+,+2.803(4),ABLS,"Atomic Beam Laser Spectroscopy",1996Co04,"JP G22 99 (96)",indc-nds-0794
13,27,Al,0,stable,5/2+,+3.64070(2),NMR,"Nuclear Magnetic Resonance",2015An17,"JCP 143 074301 (2015)",indc-nds-0794
13,28,Al,0,"2.24 m",3+,3.241(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1981Mi14,"PL 106B 38 (81)",indc-nds-0794
13,28,Al,31,"2.07 ns",2+,+4.0(4),IPAC,"Integral Perturbed Angular Correlation",1972He22,"PR C6 878 (72)",indc-nds-0816
13,30,Al,0,"3.62 s",3+,3.012(7),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005Ue01,"PL B615 186 (2005)",indc-nds-0794
13,31,Al,0,"644 ms",5/2(+),+3.832(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006Hi18,"PL B643 257 (06)",indc-nds-0794
13,32,Al,0,"33 ms",1+,1.953(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006Hi18,"PL B643 257 (06)",indc-nds-0794
13,33,Al,0,"41.7 ms",(5/2)+,+4.090(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006Hi18,"PL B643 257 (06)",indc-nds-0794
13,34,Al,0,"56 ms",(4-),(+)2.157(16),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008Hi01,"PL B658 203 (08)",indc-nds-0794
14,27,Si,0,"4.15 s",5/2+,"(-)0.8652(3) ",b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MaZK,"ARO 54 (98)",indc-nds-0794
14,28,Si,1779,"0.48 ps",2+,+1.1(2),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1975Eb01,"NP A244 1 (75)",indc-nds-0816
14,29,Si,0,stable,1/2+,-0.555052(3),NMR,"Nuclear Magnetic Resonance",2006Ma97,"JPhysChem A110 11462 (2006)",indc-nds-0794
14,35,Si,0,"0.78 s",(7/2)-,"(-) 1.639(4)",b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2007Ne14,"Eur Phys J (Sp Topics) 150 149 (07)",indc-nds-0794
15,28,P,0,"270 ms",3+,0.312(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection","2010 MaZJ","7th China-Japan NP Symp 260 (10)",indc-nds-0794
15,29,P,0,"4.14 s",1/2+,1.2344(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009Zh53,"Chin Phys C33 Supp 1 218 (09)",indc-nds-0794
15,31,P,0,stable,1/2+,+1.130925(5),NMR,"Nuclear Magnetic Resonance",2011La24,"JPhysChem A115 10617 (2011)",indc-nds-0794
15,31,P,1266,"0.52 ps",3/2+,+0.30(8),TF,"Transient Field integral perturbed angular correlation",1982Ho06,"NP A379 22 (82)",indc-nds-0816
15,31,P,2234,"0.27 ps",5/2+,+2.8(6),TF,"Transient Field integral perturbed angular correlation",1982Ho06,"NP A379 22 (82)",indc-nds-0816
15,32,P,0,"14.28 d",1+,-0.2528(2),ENDOR,"Electron-nuclear Double Resonance",1957Fe32,"PR 107 1462 (57)",indc-nds-0794
16,31,S,0,"2.6 s",1/2+,0.48793(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1976Mi16,"PR C14 2335 (76)",indc-nds-0794
16,32,S,2230,"0.17 ps",2+,+0.9(2),TF,"Transient Field integral perturbed angular correlation",2006Sp01,"PL B632 207 (2006)",indc-nds-0816
16,32,S,4459,"0.12 ps",4+,+1.6(6),TF,"Transient Field integral perturbed angular correlation",1988Si14,"ZP A330 361 (88)",indc-nds-0816
16,33,S,0,stable,3/2+,+0.64325(2),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
16,34,S,2128,"0.32 ps",2+,+1.0(2),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1979Za01,"NP A315 133 (79)",indc-nds-0816
16,35,S,0,"87.4 d",3/2+,"+1.00(4) or -1.07(4)",MA,"Microwave Absorption in gases",1954Bu05,"PR 93 193 (54)",indc-nds-0794
16,38,S,1292,"3.4 ps",2+,+0.26(10),TF,"Transient Field integral perturbed angular correlation",2006St21,"PRL 96",indc-nds-0816
16,40,S,904,"14.6 ps",2+,-0.02(12),TF,"Transient Field integral perturbed angular correlation",2006St21,"PRL 96",indc-nds-0816
16,43,S,320,"415 ns",(7/2-),1.110(14),TDPAD,"Time Dependent Perturbed Angular Distribution",2009Ga05,"PRL 102 092501 (09)",indc-nds-0816
17,32,Cl,0,"298 ms",1+,+1.115(6),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2000Ro30,"PR C62 044312 (00)",indc-nds-0794
17,33,Cl,0,"2.51 s",3/2+,"+ 0.7547(3)",b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Ma98,"NP A746 493c (04)",indc-nds-0794
17,35,Cl,0,stable,3/2+,+0.82170(2),NMR,"Nuclear Magnetic Resonance",2013Ja17,"JCP 139 234402 (2013)",indc-nds-0794
17,37,Cl,0,stable,3/2+,+0.68400(1),NMR,"Nuclear Magnetic Resonance",2013Ja17,"JCP 139 234402 (2013)",indc-nds-0794
17,38,Cl,0,"37.3 m",2-,2.05(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1972La22,"ZP 252 242 (72)",indc-nds-0794
17,44,Cl,0,"0.56 s",(2-),(-)0.5498(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010De11,"PR C81 034308 (10)",indc-nds-0794
18,33,Ar,0,"0.173 s",1/2+,-0.723(6),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1996Kl04,"NP A607 1 (96)",indc-nds-0794
18,35,Ar,0,1.78s,3/2+,+0.6320(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002Ma41,"NP A701 383c (02)",indc-nds-0794
18,36,Ar,1970,"0.32 ps",2+,+1.0(4),TF,"Transient Field integral perturbed angular correlation",2006Sp01,"PL B632 207 (2006)",indc-nds-0816
18,37,Ar,1611,"4.4 ns",7/2-,-1.33(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1971Ra22,"PRL 27 603 (71)",indc-nds-0816
18,38,Ar,2167,"0.46 ps",2+,+0.48(24),TF,"Transient Field integral perturbed angular correlation",2006Sp01,"PL B632 207 (2006)",indc-nds-0816
18,38,Ar,3937,"0.03 ps",2+,+2.2(22),TF,"Transient Field integral perturbed angular correlation",2006Sp01,"PL B632 207 (2006)",indc-nds-0816
18,39,Ar,0,"269 y",7/2-,-1.590(15),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1996Kl04,"NP A607 1 (96)",indc-nds-0794
18,40,Ar,1461,"1.12 ps",2+,-0.04(6),TF,"Transient Field integral perturbed angular correlation",2008Sp04,"PR C78 017304 (08)",indc-nds-0816
18,41,Ar,0,"1.82 h",7/2-,-1.310(8),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2008Bl01,"NP A799 30 (2008)",indc-nds-0794
18,43,Ar,0,"5.37 m",5/2(-),-1.022(6),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2008Bl01,"NP A799 30 (2008)",indc-nds-0794
19,35,K,0,"178 ms",(3/2)+,0.392(7),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006Me04,"PR C73 024318 (06)",indc-nds-0794
19,36,K,0,"0.34 s",2+,(+)0.548(1),OP/RD,"Optical Pumping with Radiative Detection",1975Sc20,"NP A246 187 (75)",indc-nds-0794
19,37,K,0,"1.23 s",3/2+,+0.20321(6),OP/RD,"Optical Pumping with Radiative Detection",1971Vo03,"ZP A244 44 (71)",indc-nds-0794
19,37,K,1379,"10.4 ns",7/2-,+5.3(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1971Ra22,"PRL 27 603 (71)",indc-nds-0816
19,38,K,0,"7.64 m",3+,+1.371(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1982To02,"PL 108B 169 (82)",indc-nds-0794
19,38,K,3458,"22.0 ms",(7)+,+3.836(14),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Io01,"PL 48B 28 (74)",indc-nds-0816
19,39,K,0,stable,3/2+,+0.391470(8),NMR,"Nuclear Magnetic Resonance",2012An18,"CPL 532 1 (2012)",indc-nds-0794
19,39,K,2814,"47 ps",7/2-,4.0(4),RIGV,"Recoil into gas or vacuum",1981Le19,"ZP A301 243 (81)",indc-nds-0816
19,39,K,3598,"38 ps",9/2-,2.4(2),RIGV,"Recoil into gas or vacuum",1981Le19,"ZP A301 243 (81)",indc-nds-0816
19,39,K,8030,"14 ps",19/2-,+3.1(3),TF,"Transient Field integral perturbed angular correlation",1992Pa01,"  PR C45 166 (92)",indc-nds-0816
19,40,K,2543,"1.09 ns",7+,+4.1(7),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1976Bo21,"NP A264 151 (76)",indc-nds-0816
19,40,K,30,"4.25 ns",3-,-1.29(9),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Br12,"PL 49B 261 (74)",indc-nds-0816
19,41,K,0,stable,3/2+,+0.214872(5),NMR,"Nuclear Magnetic Resonance",2012An18,"CPL 532 1 (2012)",indc-nds-0794
19,41,K,2528,"151 ps",11/2+,4.5(10),RIGV,"Recoil into gas or vacuum",1981Le19,"ZP A301 243 (81)",indc-nds-0816
19,41,K,2774,"51 ps",13/2+,3.0(5),RIGV,"Recoil into gas or vacuum",1981Le19,"ZP A301 243 (81)",indc-nds-0816
19,41,K,4983,"71 ps",19/2-,7(3),RIGV,"Recoil into gas or vacuum",1981Le19,"ZP A301 243 (81)",indc-nds-0816
19,41,K,1294,"7.35 ns",7/2-,+4.42(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1969Bi07,"PL 28B 651 (69)",indc-nds-0816
19,42,K,0,"12.36 h",2-,-1.1425(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1969Ch20/1973CoZG,"PR 184 1102 (69)/BAPS 18 727 (73)",indc-nds-0794
19,43,K,0,"22.3 h",3/2+,+0.1633(8),ABLS,"Atomic Beam Laser Spectroscopy",1982To02/1982Du06,"PL 108B 169 (82)/JPPa 43 509 (82)",indc-nds-0794
19,43,K,738,"200 ns",7/2-,+4.43(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Ra37,"HFI 15 59 (83)",indc-nds-0816
19,44,K,0,"22.1 m",2-,-0.856(4),ABLS,"Atomic Beam Laser Spectroscopy",1982To02/1982Du06,"PL 108B 169 (82)/JPPa 43 509 (82)",indc-nds-0794
19,45,K,0,"17.8 m",3/2+,+0.1734(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1982To02,"PL 108B 169 (82)",indc-nds-0794
19,46,K,0,"115 s",2-,-1.051(6),ABLS,"Atomic Beam Laser Spectroscopy",1982To02,"PL 108B 169 (82)",indc-nds-0794
19,47,K,0,"17.5 s",1/2+,+1.933(9),ABLS,"Atomic Beam Laser Spectroscopy",1982To02,"PL 108B 169 (82)",indc-nds-0794
19,49,K,0,"1.26 s",1/2+,+1.3386(8),CLS,"Resonance Cell Laser Spectroscopy",2013Pa11,"PRL 110 172503 (2013)",indc-nds-0794
19,51,K,0,"365 ms",(3/2+),+0.513(2),CLS,"Resonance Cell Laser Spectroscopy",2013Pa11,"PRL 110 172503 (2013)",indc-nds-0794
20,39,Ca,0,"0.86 s",3/2+,1.02140(16),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1976Mi05,"PL 61B 155 (76)",indc-nds-0794
20,40,Ca,3737,"47 ps",3-,+1.6(3),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1987Ma25,"ZP A327 157 (87)",indc-nds-0816
