z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"electric quadrupole [b]",method,description,nsr,journal,indc
3,6,Li,0,stable,1+,-0.000806(6),MB,"Molecular Beam Magnetic Resonance",2005Bo45,"PR C72 044309 (2005)",indc-nds-0833
3,7,Li,0,stable,3/2-,-0.0400(3),MB,"Molecular Beam Magnetic Resonance",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
3,8,Li,0,"840 ms",2+,+0.0314(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005Bo45,"PR C72 044309 (2005)",indc-nds-0833
3,9,Li,0,"178 ms",3/2-,-0.0304(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2011Av08,"J Phys G 38 075102 (2011)",indc-nds-0833
3,11,Li,0,"8.75 ms",3/2-,(-)0.0333(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008Ne11,"PRL 101 132502 (2008)",indc-nds-0833
4,9,Be,0,stable,3/2-,+0.0529(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1991Su05,"CPL 177 91 (1991)",indc-nds-0833
4,10,Be,3368,"0.125 ps",2+,-0.08(7),CER,"Coulomb excitation reorientation",2012Or05,"PR C86 041303 (2012)",indc-nds-0833
5,8,B,0,0.77s,2+,+0.0643(14),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2006Su13,"PR C74 024327 (2006)",indc-nds-0833
5,10,B,0,stable,3+,+0.0846(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
5,11,B,0,stable,3/2-,+0.04059(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
5,12,B,0,"20.2 ms",1+,0.0132(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1992Mi18,"PRL 69 2058 (1992)",indc-nds-0833
5,13,B,0,"17.3 ms",3/2-,(+)0.0365(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Na38,"NP A746 509c (2004)",indc-nds-0833
5,14,B,0,"12.5 ms",2-,0.0297(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Iz01,"PL B366 51 (1996)",indc-nds-0833
5,15,B,0,"9.9 ms",3/2-,0.0379(11),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Iz01,"PL B366 51 (1996)",indc-nds-0833
5,17,B,0,"5.1 ms",(3/2-),0.0385(15),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003Og03,"PR C67 064308 (2003)",indc-nds-0833
6,11,C,0,"20.4 m",3/2-,0.0333(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
6,12,C,4438,"45 fs",2+,+0.06(3),CER,"Coulomb excitation reorientation",1983Ve01,"PL B122 23 (1983)",indc-nds-0833
7,12,N,0,"11.0 ms",1+,+0.0100(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998Mi10,"PL B420 31 (1998)",indc-nds-0833
7,16,N,0,"7.13 s",2-,(-)0.018(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2001Ma42,"PRL 86 3735 (2001)",indc-nds-0833
7,18,N,0,"624 ms",1-,(+)0.0123(12),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Og03,"PL B451 11 (1999)",indc-nds-0833
8,13,O,0,"8..6 ms",3/2-,0.0111(8),b-NQR,"Nuclear Quadrupole Resonance with beta detection",1999Ma46,"PL B459 81 (1999)",indc-nds-0833
8,18,O,1982,"1.94 ps",2+,-0.036(9),CER,"Coulomb excitation reorientation",1983Gr28,"NP A411 329 (1983)",indc-nds-0833
8,19,O,0,"26.9 s",5/2+,0.00362(13),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Mi16,"PL B457 9 (1999)",indc-nds-0833
9,17,F,0,"64.5 s",5/2+,0.076(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1974Mi21,"NP A236 415 (1974)",indc-nds-0833
9,18,F,1121,"162 ns",5+,0.071(6),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1974Mi21,"NP A236 415 (1974)",indc-nds-0833
9,19,F,197,"89.3 ns",5/2+,-0.0942(9),PAC,"Perturbed Angular Correlation",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
9,20,F,0,"11.1 s",2+,0.056(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1974Mi21,"NP A236 415 (1974)",indc-nds-0833
9,21,F,0,"4.16 s",5/2+,0.011(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Mb13,"HFI 120/121 673 (1999)",indc-nds-0833
9,22,F,0,"4.23 s",4+,0.003(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010Mi13,"NP A834 75c (2010)",indc-nds-0833
10,20,Ne,1634,"0.73 ps",2+,-0.23(3),CER,"Coulomb excitation reorientation",1981Sp07,"PRep 73 369 (1981)",indc-nds-0833
10,22,Ne,1275,"3.6 ps",2+,-0.215(12),CER,"Coulomb excitation reorientation",2018He12,"PL B782 468 (2018)",indc-nds-0833
10,23,Ne,0,"37.2 s",5/2+,0.145(13),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2005Ge06,"PR C71 064319 (2005)",indc-nds-0833
11,20,Na,0,"0.448 s",2+,+0.101(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009Mi04,"PL B672 120 (2009)",indc-nds-0833
11,21,Na,0,"22.5 s",3/2+,0.138(11),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009Mi04,"PL B672 120 (2009)",indc-nds-0833
11,22,Na,0,"2.60 y",3+,+0.180(11),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998Ga44,"Eur Phys J A3 313 (1998)",indc-nds-0833
11,23,Na,0,stable,3/2+,+0.104(1),O,"Optical Spectroscopy",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
11,25,Na,0,"59.1 s",5/2+,0.0015(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Og13,"HFI 159 235 (2004)",indc-nds-0833
11,26,Na,0,"1.07 s",3+,-0.0053(2),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2000Ke09,"Eur Phys J A8 31 (2000)",indc-nds-0833
11,27,Na,0,"0.30 s",5/2+,-0.0071(3),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2000Ke09,"Eur Phys J A8 31 (2000)",indc-nds-0833
11,28,Na,0,"30.5 ms",1+,+0.389(11),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2000Ke09,"Eur Phys J A8 31 (2000)",indc-nds-0833
11,29,Na,0,"44 ms",3/2+,+0.085(3),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2000Ke09,"Eur Phys J A8 31 (2000)",indc-nds-0833
12,22,Mg,1247,"2 ps",2+,-0.4(4),CER,"Coulomb excitation reorientation",2018He12,"PL B782 468 (2018)",indc-nds-0833
12,23,Mg,0,"11.3 s",3/2+,0.114(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Mb13,"HFI 120/121 673 (1999)",indc-nds-0833
12,24,Mg,1369,"1.33 ps",2+,-0.29(3),CER,"Coulomb excitation reorientation",1990Gr11,"PR C42 R471 (1990)",indc-nds-0833
12,25,Mg,0,stable,5/2+,+0.199(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
12,26,Mg,1809,"476 fs",2+,-0.21(2),CER,"Coulomb excitation reorientation",1991He09,"PR C43 2546 (1991)",indc-nds-0833
12,29,Mg,0,"1.3 0 s",3/2+,-0.16(4),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2019Yo06,"HFI 240 67 (2019)",indc-nds-0833
12,33,Mg,0,"90.5 ms",3/2-,+0.13(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2019Yo06,"HFI 240 67 (2019)",indc-nds-0833
13,25,Al,0,"7.18 s",5/2+,0.24(2),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2007Ma94,"HFI 180 65 (07)",indc-nds-0833
13,26,Al,0,"7 105 y",5+,+0.26(3),ABLS,"Atomic Beam Laser Spectroscopy",1997Le19,"JPhys G23 1145 (1997)",indc-nds-0833
13,27,Al,0,stable,5/2+,+0.1466(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
13,28,Al,0,"2.24 m",3+,0.172(12),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978St31,"HFI 4 170 (1978)",indc-nds-0833
13,31,Al,0,"644 ms",(5/2+),0.134(2),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2009De25,"PL B678 344 (2009)",indc-nds-0833
13,32,Al,0,"33 ms",1+,0.0255(3),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2018Xu05,"PL B782 619 (2018)",indc-nds-0833
13,33,Al,0,"41.7 ms",(5/2+),0.141(3),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2016He09,"PR C94 034312 (2016)",indc-nds-0833
13,34,Al,47,"26 ms",(1+),0.038(5),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2018Xu05,"PL B782 619 (2018)",indc-nds-0833
14,27,Si,0,"4.15 s",5/2+,0.063(14),b-NQR,"Nuclear Quadrupole Resonance with beta detection",1999Mb13,"HFI 120/121 673 (1999)",indc-nds-0833
14,28,Si,1779,"0.48 ps",2+,+0.16(3),CER,"Coulomb excitation reorientation",1981Sp07,"PRep 73 369 (1981)",indc-nds-0833
14,30,Si,2235,"0.22 ps",2+,-0.05(6),CER,"Coulomb excitation reorientation",1981Sp07,"PRep 73 369 (1981)",indc-nds-0833
15,28,P,0,"270 ms",3+,0.137(14),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2012Zh36,"Chin Phys Lett 29 092102 (2012)",indc-nds-0833
16,32,S,2230,0.17ps,2+,-0.16(2),CER,"Coulomb excitation reorientation",1982Ve09,"NP A389 185 (1982)",indc-nds-0833
16,33,S,0,stable,3/2+,-0.694(4),MA,"Microwave Absorption in gases",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
16,34,S,2128,"0.32 ps",2+,+0.04(3),CER,"Coulomb excitation reorientation",1981Sp07,"PRep 73 369 (1981)",indc-nds-0833
16,35,S,0,"87.4 d",3/2+,-0.483(3),MA,"Microwave Absorption in gases",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
16,43,S,320,"415 ns",7/2-,0.23(3),TDPAD,"Time Dependent Perturbed Angular Distribution",2012Ch16,"PRL 108 162501 (2012)",indc-nds-0833
17,35,Cl,0,stable,3/2+,-0.0817(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
17,36,Cl,0,"3.0 105 y",2+,-0.178(4),MA,"Microwave Absorption in gases",1972St38,"PR A6 1702 (1972)",indc-nds-0833
17,37,Cl,0,stable,3/2+,-0.0644(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
18,35,Ar,0,1.78s,3/2+,-0.084(15),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1996Kl04,"NP A607 1 (1996)",indc-nds-0833
18,36,Ar,1970,"0.28 ps",2+,+0.11(6),CER,"Coulomb excitation reorientation",1971Na06,"PL 34B 389 (1971)",indc-nds-0833
18,37,Ar,0,"35.0 d",3/2+,+0.076(3),CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
18,39,Ar,0,"269 y",7/2-,-0.116(2),CLS,"Resonance Cell Laser Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
18,40,Ar,1461,"1.12 ps",2+,+0.01(4),CER,"Coulomb excitation reorientation",1971Na05,"PRL 24 903 (1970)",indc-nds-0833
18,41,Ar,0,"1.82 h",7/2-,-0.042(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2008Bl01,"NP A799 30 (2008)",indc-nds-0833
18,43,Ar,0,"5.37 m",5/2-,+0.142(14),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2008Bl01,"NP A799 30 (2008)",indc-nds-0833
19,37,K,0,"1.23 s",3/2+,+0.109(4),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2008Mi07,"PL B662 389 (2008)",indc-nds-0833
19,39,K,0,stable,3/2+,+0.0603(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
19,40,K,0,"1.25x109 y",4-,-0.0750(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
19,41,K,0,stable,3/2+,+0.0734(7),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
20,39,Ca,0,"0.86 s",3/2+,+0.038(3),CLS,"Resonance Cell Laser Spectroscopy",2019KL06,"PR C99 061301 (2019)",indc-nds-0833
20,41,Ca,0,"1.0x105 y",7/2-,-0.0665(18),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
20,42,Ca,1525,"0.83 ps",2+,-0.19(8),CER,"Coulomb excitation reorientation",1973To07,"NP A204 574 (1973)",indc-nds-0833
20,43,Ca,0,stable,7/2-,-0.0408(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
20,44,Ca,1157,"2.7 ps",2+,-0.14(7),CER,"Coulomb excitation reorientation",1973To07,"NP A204 574 (1973)",indc-nds-0833
20,45,Ca,0,"162.6 d",7/2-,+0.038(12),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1983Ar25,"ZP A314 303 (1983)",indc-nds-0833
20,47,Ca,0,"4.54 d",7/2-,+0.084(6),CLS,"Resonance Cell Laser Spectroscopy",2015Ru02,"PR C91 041304 Rapid Report",indc-nds-0833
20,49,Ca,0,"8.72 m",3/2-,-0.036(3),CLS,"Resonance Cell Laser Spectroscopy",2015Ru02,"PR C91 041304 Rapid Report",indc-nds-0833
20,51,Ca,0,"10.0 s",3/2-,+0.036(12),CLS,"Resonance Cell Laser Spectroscopy",2015Ru02,"PR C91 041304 Rapid Report",indc-nds-0833
21,41,Sc,0,"0.60 s",7/2-,-0.145(3),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2002Mi37,"ZNat 57a 595 (2002)",indc-nds-0833
21,43,Sc,0,"3.89 h",7/2-,-0.27(5),CLS,"Resonance Cell Laser Spectroscopy",2011Av01,"J Phys G38 025104 (2011)",indc-nds-0833
21,44,Sc,0,3.97h,2+,+0.10(5),CLS,"Resonance Cell Laser Spectroscopy",2011Av01,"J Phys G38 025104 (2011)",indc-nds-0833
21,45,Sc,0,stable,7/2-,-0.220(2),MS,"Molecular Spectroscopy",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
21,46,Sc,0,"83.79 d",4+,+0.119(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1962Pe21,"PR 128 1740 (1962)",indc-nds-0833
21,47,Sc,0,"3.35 d",7/2-,-0.22(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1966Co13,"PR 141 1106 (1966)",indc-nds-0833
22,43,Ti,3066,"556 ns",19/2-,0.33(8),TDPAD,"Time Dependent Perturbed Angular Distribution",1981Da06,"PR C23 1612 (1981)",indc-nds-0833
22,45,Ti,0,"184.8 m",7/2-,0.015(15),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1966Co19,"PR 148 1157 (1966)",indc-nds-0833
22,46,Ti,889,"5.32 ps",2+,-0.21(6),CER,"Coulomb excitation reorientation",1975To06,"NP A250 381 (1975)",indc-nds-0833
22,47,Ti,0,stable,5/2-,+0.302(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
22,48,Ti,984,"4.04 ps",2+,-0.177(8),ES,"Electron Scattering",1972Li12,"PL B38 475 (1972)",indc-nds-0833
22,49,Ti,0,stable,7/2-,+0.247(11),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
23,50,V,0,"1.4 1017 y",6+,+0.21(4),ABLDF,"Atomic Beam with Laser Double Resonance Detection",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
23,51,V,0,stable,7/2-,-0.052(10),LRFS,"Laser Resonance Fluorescence Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
24,50,Cr,783,"9.67 ps",2+,-0.36(7),CER,"Coulomb excitation reorientation",1975To06,"NP A250 381 (1975)",indc-nds-0833
24,52,Cr,1434,"0.783 ps",2+,-0.08(2),ES,"Electron Scattering",1989Ra17,"JPSJ 34 387 (1973)",indc-nds-0833
24,53,Cr,0,stable,3/2-,-0.15(5),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
24,54,Cr,835,"8.0 ps",2+,-0.21(8),CER,"Coulomb excitation reorientation",1975To06,"NP A250 381 (1975)",indc-nds-0833
25,50,Mn,229,"1.75 m",5+,+0.83(12),TLS,"Trapped Laser Spectroscopy",2010Ch15,"PL B690 346 (2010)",indc-nds-0833
25,51,Mn,0,"46.2 m",5/2-,0.41(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1971Jo10,"NP A166 306 (1971)",indc-nds-0833
25,52,Mn,0,"5.80 d",6+,+0.50(7),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1970Ni11,"Phca 50 259 (1970)",indc-nds-0833
25,53,Mn,0,"3.7 106 y",7/2-,+0.17(3),TLS,"Trapped Laser Spectroscopy",2010Ch15,"PL B690 346 (2010)",indc-nds-0833
25,54,Mn,0,"312 d",3+,+0.37(3),TLS,"Trapped Laser Spectroscopy",2010Ch15,"PL B690 346 (2010)",indc-nds-0833
25,55,Mn,0,stable,5/2-,+0.330(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
25,56,Mn,0,"2.58 h",3+,+0.24(8),CLS,"Resonance Cell Laser Spectroscopy",2015He28,"PR C92 044311 (2015)",indc-nds-0833
25,57,Mn,0,"85.4 s",5/2-,+0.37(3),CLS,"Resonance Cell Laser Spectroscopy",2016Ba44,"PL B760 387 (2016)",indc-nds-0833
25,58,Mn,0,"3.0 s",1+,+0.03(8),CLS,"Resonance Cell Laser Spectroscopy",2015He28,"PR C92 044311 (2015)",indc-nds-0833
25,59,Mn,0,"4.6 s",5/2-,+0.34(3),CLS,"Resonance Cell Laser Spectroscopy",2016Ba44,"PL B760 387 (2016)",indc-nds-0833
25,60,Mn,0,"0.28 s",1+,+0.1(2),CLS,"Resonance Cell Laser Spectroscopy",2015He28,"PR C92 044311 (2015)",indc-nds-0833
25,61,Mn,0,"0.71 s",5/2-,+0.36(3),CLS,"Resonance Cell Laser Spectroscopy",2016Ba44,"PL B760 387 (2016)",indc-nds-0833
25,62,Mn,0,"92 ms",1+,+0.1(2),CLS,"Resonance Cell Laser Spectroscopy",2015He28,"PR C92 044311 (2015)",indc-nds-0833
25,63,Mn,0,"0.28 s",5/2-,+0.48(4),CLS,"Resonance Cell Laser Spectroscopy",2016Ba44,"PL B760 387 (2016)",indc-nds-0833
26,54,Fe,1408,"0.76 ps",2+,-0.05(14),CER,"Coulomb excitation reorientation",1981Le02,"PR C23 244 (1981)",indc-nds-0833
26,56,Fe,847,"6.1 ps",2+,-0.23(3),CER,"Coulomb excitation reorientation",1971Th14,"PR C4 1699 (1971)",indc-nds-0833
26,57,Fe,14,"98 ns",3/2-,+0.160(8),ME,"Mossbauer Effect",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
26,58,Fe,811,"6.5 ps",2+,-0.27(5),CER,"Coulomb excitation reorientation",1981Le02,"PR C23 244 (1981)",indc-nds-0833
26,61,Fe,862,"238 ns",(9/2+),0.44(6),TDPAD,"Time Dependent Perturbed Angular Distribution",2007Ve05,"PR C75 051302 (2007)",indc-nds-0833
27,56,Co,0,"77.2 d",4+,+0.25(9),MAPON,"Multiple Adiabatic Passage NMR on Oriented Nuclei",1988Ba87,"PR B37 4911 (1988)",indc-nds-0833
27,57,Co,0,"272 d",7/2-,+0.54(10),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1972Ni01,"Phca 57 1 (1972)",indc-nds-0833
27,58,Co,0,"70.8 d",2+,+0.23(3),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1972Ni01,"Phca 57 1 (1972)",indc-nds-0833
27,59,Co,0,stable,7/2-,+0.42(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
27,60,Co,0,"5.271 y",5+,+0.46(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1972Ni01,"Phca 57 1 (1972)",indc-nds-0833
28,58,Ni,1454,"0.65 ps",2+,-0.10(6),CER,"Coulomb excitation reorientation",1974Le13,"NP A223 563 (1974)",indc-nds-0833
28,60,Ni,1332,"0.74 ps",2+,-0.10(2),ES,"Electron Scattering",1972Li12,"PL 38B 475 (1972)",indc-nds-0833
28,61,Ni,0,stable,3/2-,+0.162(15),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
28,62,Ni,1173,"1.45 ps",2+,+0.05(12),CER,"Coulomb excitation reorientation",1974Le13,"NP A223 563 (1974)",indc-nds-0833
28,64,Ni,1346,"1.09 ps",2+,+0.4(2),CER,"Coulomb excitation reorientation",1971ChZK,"BAPS 16 625 (1971)",indc-nds-0833
29,63,Cu,0,stable,3/2-,-0.220(15),Mu-X,"Muonic X-ray Hyperfine Structure",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
29,65,Cu,0,stable,3/2-,-0.204(14),Mu-X,"Muonic X-ray Hyperfine Structure",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
30,63,Zn,0,"38.4 m",3/2-,+0.20(2),CLS,"Resonance Cell Laser Spectroscopy",1969La05,"PR 177 1606 (1969)",indc-nds-0833
30,64,Zn,992,"1.94 ps",2+,-0.14(2),ES,"Electron Scattering",1981Ko06,"JPhys G7 L63 (1981)",indc-nds-0833
30,65,Zn,0,"244.1 d",5/2-,-0.019(2),OD,"Optical Double Resonance",1964By01,"PR 134 A47 (1964)",indc-nds-0833
30,66,Zn,1039,"1.68 ps",2+,+0.24(8),CER,"Coulomb excitation reorientation",2003Ko51,"Eur Phys J A18 87 (2003)",indc-nds-0833
30,67,Zn,0,stable,5/2-,+0.122(10),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
30,68,Zn,1077,"1.61 ps",2+,-0.106(16),ES,"Electron Scattering",1981Ko06,"JPhys G7 L63 (1981)",indc-nds-0833
30,69,Zn,439,"13.7 h",9/2+,-0.39(3),CLS,"Resonance Cell Laser Spectroscopy",1983Oe01,"ZP A310 233 (1983)",indc-nds-0833
30,70,Zn,885,"3.7 ps",2+,-0.24(3),ES,"Electron Scattering",1981Ko06,"JPhys G7 L63 (1981)",indc-nds-0833
30,71,Zn,158,"3.96 h",9/2+,-0.26(3),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
30,73,Zn,195,"13.0 ms",5/2+,+0.43(4),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
30,75,Zn,0,"10.2 s",7/2+,+0.16(2),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
30,77,Zn,0,"2.08 s",7/2+,+0.48(4),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
30,79,Zn,0,"0.75 s",9/2+,+0.40(4),CLS,"Resonance Cell Laser Spectroscopy",2017Wr01,"PL B771 385 (2017)",indc-nds-0833
31,63,Ga,0,"32.4 s",3/2-,+0.212(14),CLS,"Resonance Cell Laser Spectroscopy",2012Pr11,"PR C86 034329 (2012)",indc-nds-0833
31,65,Ga,0,"15.2 m",3/2-,+0.210(15),CLS,"Resonance Cell Laser Spectroscopy",2017Fa09,"PR C96 044324 (2017)",indc-nds-0833
31,66,Ga,1464,"57 ns",7-,+0.78(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1985Ra33,"HFI 26 855 (1985)",indc-nds-0833
31,67,Ga,0,"78.3 h",3/2-,+0.197(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1968Eh02,"PR 176 25 (1968)",indc-nds-0833
31,68,Ga,0,"67.7 m",1+,-0.0277(14),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1972St38,"PR A6 1702 (1972)",indc-nds-0833
31,69,Ga,0,stable,3/2-,+0.171(2),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
31,70,Ga,0,"21.1 m",1+,+0.105(7),CLS,"Resonance Cell Laser Spectroscopy",2012Pr11,"PR C86 034329 (2012)",indc-nds-0833
31,71,Ga,0,stable,3/2-,+0.107(1),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
31,72,Ga,0,"14.1 h",3-,+0.530(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1968Eh02,"PR 176 25 (1968)",indc-nds-0833
31,73,Ga,0,"4.86 h",3/2-,+0.209(2),CLS,"Resonance Cell Laser Spectroscopy",2010Ch16,"PRL 104 252502 (2010)",indc-nds-0833
31,74,Ga,0,"8.12 m","3- or 4-","+0.55(4) or +0.60(4)",LRS,"Laser Resonance Spectroscopy",2011Ma45,"PR C84 024303 (2011)",indc-nds-0833
31,75,Ga,0,"126 s",3/2-,-0.285(17),CLS,"Resonance Cell Laser Spectroscopy",2010Ch16,"PRL 104 252502 (2010)",indc-nds-0833
31,76,Ga,0,"32.6 s",(2+),+0.33(2),LRS,"Laser Resonance Spectroscopy",2011Ma45,"PR C84 024303 (2011)",indc-nds-0833
31,77,Ga,0,"13.2 s",3/2-,-0.208(13),CLS,"Resonance Cell Laser Spectroscopy",2010Ch16,"PRL 104 252502 (2010)",indc-nds-0833
31,78,Ga,0,"5.1 s",(2+),+0.33(2),LRS,"Laser Resonance Spectroscopy",2011Ma45,"PR C84 024303 (2011)",indc-nds-0833
31,79,Ga,0,"2.85 s",3/2-,+0.158(10),CLS,"Resonance Cell Laser Spectroscopy",2010Ch16,"PRL 104 252502 (2010)",indc-nds-0833
31,80,Ga,0,"1.9 s",(3-),+0.38(2),CLS,"Resonance Cell Laser Spectroscopy",2010Ch50,"PR C82 051302(R) (2010)",indc-nds-0833
